사업번호,자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡),용도지역,용도지구,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,60㎡이하,60㎡초과~85㎡이하,85㎡초과,임대세대총수,(임대)40㎡이하,(임대)40㎡초과~50㎡이하,(임대)50㎡초과,건축계획비고
11230-100003002,동대문구,청량리동,재개발(주택정비형),조합,청량리제6구역주택재개발정비사업조합,청량리동 205,사업시행인가,운영,688,청량리제6주택재개발정비구역,동대문구 청량리동 205번지 일대,83883.1,227419.52,제2종일반주거지역(12층이하),,63056.3,14800.8,4200.0,,,,700.0,공동주택 및 부대복리시설,25.0,234.0,72.0,16.0,,1242,543.0,612.0,87.0,255,78.0,,177.0,
11230-100003005,동대문구,답십리동,재개발(주택정비형),조합,답십리제14구역주택재개발정비사업조합,답십리동 25,조합해산,운영,405,답십리제14주택재개발구역,동대문구 답십리동 25-0,32729.7,98513.32,도시지역,제2종일반주거지역,27367.7,3253.0,,2109.0,,,,아파트,20.92,245.92,60.0,20.0,2.0,662,516.0,146.0,,140,60.0,60.0,20.0,
11230-100003010,동대문구,용두동,재개발(주택정비형),조합,용두제6구역 주택재개발정비사업조합,용두동 753-9,조합해산,운영,470,용두제6구역 주택재개발정비사업조합,동대문구 용두동 753-9번지 ,53371.0,150487.26,제2종일반주거지역,일반미관지구(무학로변),43409.0,7177.0,1865.0,920.0,,,,아파트및부대복리시설,23.58,226.3,65.0,21.0,2.0,869,342.0,522.0,5.0,179,84.0,77.0,18.0,"정비(구역)계획 변경 고시문(2014.11.27)에 건축면적,동수 내용없음"
11230-100006039,동대문구,휘경동,재개발(주택정비형),조합,휘경2재정비촉진구역 주택재개발정비사업조합,휘경동 128-12,조합해산,운영,442,휘경2재정비촉진구역,동대문구 휘경동 128-12번지 일대,43329.0,133637.18,제3종일반주거지역,일반미관지구,28587.0,6921.0,3402.0,3438.0,,,,공동주택,21.17,299.67,112.0,29.0,3.0,726,324.0,348.0,54.0,174,70.0,61.0,43.0,
11230-100006043,동대문구,이문동,재개발(주택정비형),조합,이문1재정비촉진구역 주택재개발정비사업조합,이문동 257-42,일반분양승인,운영,1759,이문1재정비촉진구역,동대문구 이문동 257-42번지,144856.0,458412.65,제2종 및 제3종 일반주거지역 일반상업지역,재정비촉진지구,115829.0,17621.0,9228.0,0.0,0.0,0.0,2178.0,공동주택,30.0,247.6,75.0,27.0,5.0,2528,1235.0,1185.0,108.0,541,236.0,249.0,56.0,
11230-100006045,동대문구,휘경동,재개발(주택정비형),조합,휘경3재정비촉진구역 주택재개발정비사업조합,휘경동 172,일반분양승인,운영,603,휘경3재정비촉진구역 주택재개발정비사업조합,동대문구 휘경동 172번지,65338.0,195963.42,제3종일반주거지역,재정비촉진지구,41652.0,9316.0,3195.0,6310.0,1480.0,,3385.0,공동주택 및 부대복리시설,18.45,29.96,118.0,35.0,3.0,1785,397.0,1387.0,1.0,314,87.0,70.0,157.0,
11230-100007000,동대문구,전농동,재개발(주택정비형),조합,전농8구역주택재개발정비사업조합,전농동 204,조합설립인가,운영,633,전농8구역주택재개발정비사업조합,동대문구 전농동 204번지,93697.0,289080.73,전농답십리뉴타운 개발구역,,72231.5,10884.0,6830.1,0.0,,0.0,3743.4,주택재개발사업,25.45,249.99,130.0,32.0,4.0,1398,611.0,660.0,127.0,352,77.0,106.0,169.0,
11230-100007004,동대문구,전농동,재개발(주택정비형),조합,전농제7구역 주택재개발정비사업조합,전농동 449-9,조합해산,운영,1495,전농제7구역주택재개발정비사업조합,동대문구 전농동 449-9,151859.05,369840.48,제2종일반주거지역,재정비촉진지구,108642.5,17679.9,5282.7,2125.9,0.0,1162.0,16899.3,공동주택,22.57,238.26,63.0,22.0,3.0,1984,550.0,977.0,457.0,413,288.0,125.0,,
11230-900000092,동대문구,전농동,재개발(주택정비형),조합,전농제12구역 재개발정비사업조합,전농동 643,조합설립인가,운영,146,전농12주택재개발정비구역,동대문구 전농동 643번지,16237.0,53075.09,제3종일반주거지역,,13791.7,834.1,815.0,,,,796.2,공동주택,50.0,2.4,,,30.0,246,53.0,143.0,50.0,51,22.0,21.0,8.0,
11230-100003008,동대문구,신설동,재개발(주택정비형),조합,신설제1구역 공공재개발정비사업 ,신설동 92-5,조합설립인가,운영,73,신설제1구역 공공재개발 정비사업 주민대표회의,동대문구 신설동 92-5 ,11204.15,46253.62,제2종 일반주거지역,제2종 일반주거지역,10124.8,845.05,0.0,0.0,0.0,0.0,234.3,공동주택/근린생활시설/부대시설,13.48,299.5,75.0,2.0,25.0,189,65.0,100.0,24.0,110,12.0,,98.0,0
11230-100009002,동대문구,청량리동,재개발(주택정비형),조합,청량리제8구역 주택재개발정비사업조합,청량리동 435,사업시행인가,운영,279,청량리제8구역 주택재개발정비사업조합,동대문구 청량리동 435번지,29001.0,90086.06,제3종 일반주거지역,,23136.8,2430.9,2119.5,,,,1313.8,공동주택 및 부대복리시설,15.99,246.98,70.0,24.0,3.0,460,148.0,264.0,48.0,150,46.0,51.0,53.0,
11230-100003016,동대문구,전농동,재개발(주택정비형),조합청산,전농제11구역 주택재개발정비사업조합,전농동 518,조합청산,운영,298,전농 제11주택재개발정비구역,동대문구 전농동 518-0,28150.5,89012.32,제3종일반주거지역,재정비촉진지구,19892.6,5622.9,2627.0,,,,,공동주택및부대복리시설,17.09,285.98,,29.0,4.0,484,172.0,312.0,,100,42.0,42.0,16.0,
11230-100003014,동대문구,청량리동,재개발(주택정비형),조합,청량리제7구역 주택재개발정비사업조합,청량리동 199,착공신고,운영,389,청량리 제7구역 주택재개발 정비사업,동대문구 청량리동 199-0,35273.7,111214.94,제2종 일반주거지역,일반미관지구,26166.3,5896.4,,1742.9,,,1468.1,아파트 및 부대복리시설,24.83,240.44,53.0,18.0,6.0,627,528.0,99.0,,134,50.0,68.0,16.0,
11230-900001096,동대문구,청량리동,재개발(주택정비형),공공지원자,청량리9구역 주택재개발정비사업,청량리동 19,정비계획 수립,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11230-900000737,동대문구,용두동,재개발(주택정비형),추진위원회,용두1도시환경정비구역 제5지구 조합설립추진위원회,용두동 23-1,조합설립추진위원회승인,운영,89,용두1도시환경정비구역 제5지구,동대문구 용두동 23-1,15457.1,36948.0,,,,,,,,,,준주거지역,50.0,549.0,60.0,18.0,5.0,693,,211.0,482.0,0,,,,
11230-900000765,동대문구,답십리동,재개발(주택정비형),조합,답십리자동차부품상가 도시정비형 재개발정비사업조합,답십리동 952,조합설립인가,운영,553,답십리자동차부품상가 도시정비형 재개발정비사업,동대문구 답십리동 952-0,17882.0,179241.6,주거지역상업지역,,14094.0,2093.0,1695.0,,,,,공동주택 및 판매시설,59.26,799.87,1021.0,29.0,9.0,493,103.0,352.0,38.0,125,31.0,38.0,56.0,
11230-100003013,동대문구,제기동,재개발(주택정비형),조합,제기제6구역주택재개발정비사업조합,제기동 120-104,관리처분인가,운영,198,제기제6주택재개발 정비구역,동대문구 제기동 120-104번지,24320.6,56302.97,제2종 일반주거지역,,17497.0,4006.1,2457.7,,359.8,,,아파트,24.97,239.81,49.0,19.0,2.0,312,98.0,162.0,52.0,65,28.0,28.0,9.0,
11230-100006044,동대문구,이문동,재개발(주택정비형),조합,이문4재정비촉진구역 주택재개발정비사업조합,이문동 86-1,관리처분인가,운영,1470,이문4재정비촉진구역,동대문구 이문동 86-1,148977.2,505257.98,일반주거지역,재정비촉진지구,44544.0,20861.6,11311.8,0.0,0.0,9781.6,2589.0,공동주택 및 부대복리시설,35.0,317.0,122.0,40.0,5.0,2700,1652.0,679.0,369.0,928,657.0,219.0,52.0,
11230-100007002,동대문구,답십리동,재개발(주택정비형),조합,답십리제16구역주택재개발정비사업조합,답십리동 178,조합해산,운영,1259,답십리제16주택재개발정비구역,동대문구 답십리동178번지일대,145976.0,396817.96,일반주거지역,2종일반주거지역,116693.8,15615.5,10476.0,1170.0,0.0,334.0,1687.0,공동주택(아파트),23.15,242.35,75.0,22.0,3.0,2656,996.0,1231.0,429.0,452,304.0,148.0,,
11230-900000913,동대문구,답십리동,재개발(주택정비형),조합,답십리제17구역 주택재개발정비사업,답십리동 12,착공신고,운영,155,답십리제17구역 주택재개발정비사업,동대문구 답십리동 12번지,13850.9,44577.97,제 2종 일반주거지역,,12307.6,869.3,674.0,,,,,아파트,27.18,243.11,62.0,21.0,2.0,268,150.0,118.0,,58,28.0,30.0,,
11230-100006040,동대문구,휘경동,재개발(주택정비형),조합,휘경1재정비촉진구역 주택재개발정비사업조합,휘경동 243,조합해산,운영,111,휘경1재정비촉진구역 주택재개발정비사업조합,동대문구 휘경동 243번지,12915.0,41228.86,제3종 일반주거지역,재정비촉진지구,11051.0,1217.0,647.0,,,,,공동주택(아파트),25.67,261.52,57.0,20.0,2.0,248,134.0,97.0,17.0,51,21.0,23.0,7.0,
11230-100006042,동대문구,이문동,재개발(주택정비형),조합,이문3재정비촉진구역 주택재개발정비사업조합,이문동 149-8,일반분양승인,운영,1571,이문3재정비촉진구역,동대문구 이문동 149-8,137372.0,669722.26,준주거지역,중심지미관지구,120457.0,19649.0,12967.0,0.0,0.0,0.0,1710.0,공동주택판매및오피스텔,26.21,357.18,143.0,41.0,6.0,4140,2106.0,1312.0,722.0,1308,349.0,222.0,737.0,
11230-100003011,동대문구,제기동,재개발(주택정비형),조합,제기제4구역 주택재개발정비사업조합,제기동 288,관리처분인가,운영,380,제기제4구역 주택재개발정비사업,동대문구 제기동 288번지,33485.7,117027.93,제2종일반주거지역 특별건축구역,,3348.57,356.97,,,,,,공동주택,29.88,249.96,,25.0,2.0,753,625.0,128.0,,156,59.0,81.0,16.0,
11230-100007003,동대문구,답십리동,재개발(주택정비형),조합,답십리제18구역주택재개발정비사업조합,답십리동 98,조합해산,운영,446,답십리18구역주택재개발 정비사업,동대문구 답십리동 98-0,55394.0,144855.95,제2종일반주거지역,일반미관지구,38971.0,7438.0,1722.0,1698.0,2989.0,2576.0,,공동주택(아파트)및부대복리시설,22.88,253.48,60.0,21.0,3.0,986,435.0,429.0,122.0,168,70.0,72.0,26.0,
11230-100003004,동대문구,용두동,재개발(주택정비형),조합,용두5구역 주택재개발정비사업조합,용두동 253,조합해산,운영,310,용두5구역 재개발정비구역,동대문구 용두동 253번지 ,37699.8,,제3종 일반주거지역,공동주택(부대복리시설공유커뮤니티시설),30293.4,3343.4,4063.0,,,,,분양.임대아파트,21.48,270.89,,27.0,3.0,827,447.0,353.0,27.0,0,,,,임대포함
11230-100009003,동대문구,전농동,재개발(주택정비형),조합,전농제9구역 공공재개발정비사업 주민대표회의,전농동 103-236,조합설립인가,운영,717,전농제9구역 공공재개발정비사업 주민대표회의,전농동 103-236번지 외,49061.0,170220.15,제3종일반주거지역 ,정비구역기타(주택재개발 정비예정구역)<도시 및 주거환경정비법> 과밀억제권역<수도권정비계획법>,36229.0,7732.0,3600.0,,,,1500.0,공동주택 세대 및 (1159 )  부대복리시설 공공청사,18.18,299.68,175.0,35.0,3.0,920,503.0,355.0,62.0,239,96.0,29.0,114.0,향후 건축심의 및 사업시행인가에 따라 확정예정
11230-900001190,동대문구,휘경동,재개발(주택정비형),추진위원회,휘경제5 주택정비형 재개발구역,휘경동 43-188,조합설립추진위원회승인,운영,0,휘경제5 주택정비형 재개발구역,동대문구 휘경동 43-188,49397.0,107428.48,제1종일반주거지역 제2종일반주거지(7층 이하),최고고도지구 고도지구,49397.0,1635.0,1200.0,0.0,0.0,2200.0,4914.0,공동주택,29.64,152.62,,7.0,2.0,589,358.0,217.0,14.0,45,12.0,33.0,,
11230-900000997,동대문구,휘경동,재개발(주택정비형),추진위원회,동성빌라일대 주택재개발정비사업 추정분담금 검토위,휘경동 43,조합설립추진위원회승인,운영,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,
11230-100003009,동대문구,회기동,재개발(주택정비형),조합,회기제1구역 주택재개발정비사업조합,회기동 62-34,이전고시,일시중단,103,회기제1구역주택재개발조합,동대문구 회기동 62-34번지,14116.0,,일반주거지역,주택재개발지구,12100.0,1616.0,400.0,1815.0,0.0,0.0,0.0,공동주택(아파트)/부대시설,25.86,190.19,50200.0,,,190,,156.0,34.0,0,,,,
11230-100003003,동대문구,용두동,재개발(주택정비형),조합청산,용두제1구역주택재개발정비사업조합,용두동 80-1,조합청산,일시중단,556,용두제1구역 주택재개발정비사업조합,동대문구 용두동 80-1번지,58262.5,170206.98,3종 일반주거지역,,46188.7,6272.6,,2994.1,,,,아파트,17.07,235.08,,20.0,2.0,1054,442.0,422.0,190.0,210,210.0,,,
